*it=76000 cost=0.46701285243034363 creg=0.09460107803344726
(0.6028, 0.98150000000000004, 0.99929999999999997)
(0.58579999999999999, 0.97940000000000005, 0.99909999999999999)
*it=77000 cost=0.46368592977523804 creg=0.09423422813415527
(0.59799999999999998, 0.98509999999999998, 0.99960000000000004)
(0.58640000000000003, 0.97819999999999996, 0.99890000000000001)
*it=78000 cost=0.475683331489563 creg=0.09386669158935547
(0.59719999999999995, 0.98240000000000005, 0.99939999999999996)
(0.58689999999999998, 0.97789999999999999, 0.99860000000000004)
*it=79000 cost=0.46293875575065613 creg=0.0934983253479004
(0.59999999999999998, 0.98419999999999996, 0.99960000000000004)
(0.5847, 0.97999999999999998, 0.99880000000000002)
*it=80000 cost=0.47225964069366455 creg=0.0931280517578125
(0.59630000000000005, 0.98209999999999997, 0.99939999999999996)
(0.58350000000000002, 0.9778, 0.99909999999999999)
*it=81000 cost=0.4650569260120392 creg=0.09274914741516113
(0.59789999999999999, 0.98370000000000002, 0.99960000000000004)
(0.58350000000000002, 0.97940000000000005, 0.99939999999999996)
*it=82000 cost=0.46238988637924194 creg=0.09238469123840332
(0.59950000000000003, 0.98460000000000003, 0.99939999999999996)
(0.58189999999999997, 0.97760000000000002, 0.99960000000000004)
*it=83000 cost=0.4752032458782196 creg=0.0920156478881836
(0.59009999999999996, 0.98280000000000001, 0.99909999999999999)
(0.58009999999999995, 0.97860000000000003, 0.999)
*it=84000 cost=0.45592498779296875 creg=0.09166352272033691
(0.5978, 0.98450000000000004, 0.99970000000000003)
(0.59360000000000002, 0.98160000000000003, 0.99890000000000001)
*it=85000 cost=0.450419545173645 creg=0.09130119323730469
(0.60560000000000003, 0.98529999999999995, 0.99960000000000004)
(0.59819999999999995, 0.98319999999999996, 0.99909999999999999)
*it=86000 cost=0.4655405580997467 creg=0.09093856811523438
(0.59909999999999997, 0.98250000000000004, 0.99950000000000006)
(0.58599999999999997, 0.97650000000000003, 0.99880000000000002)
*it=87000 cost=0.4589603543281555 creg=0.09058521270751953
(0.60470000000000002, 0.98360000000000003, 0.99939999999999996)
(0.58630000000000004, 0.98299999999999998, 0.99919999999999998)
*it=88000 cost=0.43243226408958435 creg=0.09023165702819824
(0.61670000000000003, 0.98670000000000002, 0.99980000000000002)
(0.60070000000000001, 0.98370000000000002, 0.99980000000000002)
*it=89000 cost=0.4412645101547241 creg=0.08987994194030761
(0.61750000000000005, 0.98419999999999996, 0.99960000000000004)
(0.58679999999999999, 0.97989999999999999, 0.99890000000000001)
*it=90000 cost=0.4616432189941406 creg=0.08952627182006836
(0.59830000000000005, 0.98370000000000002, 0.99929999999999997)
(0.58830000000000005, 0.97829999999999995, 0.999)
*it=91000 cost=0.47116631269454956 creg=0.08917624473571778
(0.59819999999999995, 0.9829, 0.99929999999999997)
(0.57189999999999996, 0.97829999999999995, 0.99950000000000006)
*it=92000 cost=0.44224268198013306 creg=0.08883663177490235
(0.61160000000000003, 0.98480000000000001, 0.99980000000000002)
(0.59550000000000003, 0.98089999999999999, 0.99880000000000002)
*it=93000 cost=0.4514099955558777 creg=0.08847778320312501
(0.60260000000000002, 0.98519999999999996, 0.99919999999999998)
(0.58879999999999999, 0.98270000000000002, 0.99929999999999997)
*it=94000 cost=0.4375970959663391 creg=0.08812747955322266
(0.61170000000000002, 0.98519999999999996, 0.99990000000000001)
(0.60419999999999996, 0.98209999999999997, 0.99980000000000002)
*it=95000 cost=0.4388033151626587 creg=0.08778815269470215
(0.61799999999999999, 0.98519999999999996, 0.99970000000000003)
(0.60489999999999999, 0.98080000000000001, 0.999)
*it=96000 cost=0.44467422366142273 creg=0.08744823455810546
(0.61080000000000001, 0.98560000000000003, 0.99929999999999997)
(0.5998, 0.98019999999999996, 0.99929999999999997)
*it=97000 cost=0.4401986598968506 creg=0.08710236549377441
(0.61129999999999995, 0.98570000000000002, 0.99960000000000004)
(0.58730000000000004, 0.9788, 0.99909999999999999)
*it=98000 cost=0.43106213212013245 creg=0.08677245140075683
(0.62180000000000002, 0.98729999999999996, 0.99980000000000002)
(0.6008, 0.98380000000000001, 0.999)
*it=99000 cost=0.4559727907180786 creg=0.0864450454711914
(0.60119999999999996, 0.98470000000000002, 0.99970000000000003)
(0.58489999999999998, 0.98060000000000003, 0.99870000000000003)
*it=100000 cost=0.4303205609321594 creg=0.08611425399780273
(0.61729999999999996, 0.98619999999999997, 0.99990000000000001)
(0.59389999999999998, 0.98370000000000002, 0.99919999999999998)
*it=101000 cost=0.43736323714256287 creg=0.08578962326049805
(0.60980000000000001, 0.98670000000000002, 1.0)
(0.5796, 0.98070000000000002, 0.99919999999999998)
*it=102000 cost=0.4394661784172058 creg=0.08546209335327148
(0.6139, 0.98509999999999998, 0.99980000000000002)
(0.59450000000000003, 0.97789999999999999, 0.99890000000000001)
*it=103000 cost=0.4296879768371582 creg=0.08514277458190918
(0.61429999999999996, 0.98839999999999995, 0.99990000000000001)
(0.60329999999999995, 0.9819, 0.99939999999999996)
*it=104000 cost=0.42733335494995117 creg=0.08481671333312989
(0.61660000000000004, 0.98660000000000003, 0.99970000000000003)
(0.59530000000000005, 0.9829, 0.99939999999999996)
*it=105000 cost=0.4217509627342224 creg=0.0844964599609375
(0.61839999999999995, 0.98729999999999996, 0.99990000000000001)
(0.60150000000000003, 0.98119999999999996, 0.99850000000000005)
*it=106000 cost=0.42455628514289856 creg=0.08417940139770508
(0.61770000000000003, 0.98640000000000005, 0.99980000000000002)
(0.60229999999999995, 0.98460000000000003, 0.99950000000000006)
*it=107000 cost=0.43671169877052307 creg=0.08386087417602539
(0.61140000000000005, 0.98560000000000003, 0.99919999999999998)
(0.59019999999999995, 0.98140000000000005, 0.99970000000000003)
*it=108000 cost=0.4472370445728302 creg=0.08353648185729981
(0.60640000000000005, 0.98509999999999998, 0.99919999999999998)
(0.59450000000000003, 0.98170000000000002, 0.99919999999999998)
*it=109000 cost=0.445593923330307 creg=0.08322299003601075
(0.60189999999999999, 0.98470000000000002, 0.99919999999999998)
(0.58960000000000001, 0.98209999999999997, 0.999)
