(0.5766, 0.9758, 0.99880000000000002)
*it=84000 cost=0.6282680630683899 creg=0.24523340225219728
(0.58860000000000001, 0.98309999999999997, 0.99939999999999996)
(0.58699999999999997, 0.97819999999999996, 0.99860000000000004)
*it=85000 cost=0.636857271194458 creg=0.24388944625854492
(0.59160000000000001, 0.9798, 0.99950000000000006)
(0.57830000000000004, 0.98040000000000005, 0.99860000000000004)
*it=86000 cost=0.634737491607666 creg=0.24254201889038088
(0.58430000000000004, 0.98119999999999996, 0.99939999999999996)
(0.58440000000000003, 0.97399999999999998, 0.99860000000000004)
*it=87000 cost=0.631001353263855 creg=0.24122018814086915
(0.58899999999999997, 0.98060000000000003, 0.99919999999999998)
(0.57650000000000001, 0.98080000000000001, 0.99939999999999996)
*it=88000 cost=0.6059785485267639 creg=0.23990528106689454
(0.59850000000000003, 0.98360000000000003, 0.99939999999999996)
(0.58760000000000001, 0.97999999999999998, 0.99950000000000006)
*it=89000 cost=0.6112292408943176 creg=0.23858592987060548
(0.60309999999999997, 0.98329999999999995, 0.99939999999999996)
(0.58440000000000003, 0.97850000000000004, 0.99880000000000002)
*it=90000 cost=0.6152445077896118 creg=0.23728797912597657
(0.59409999999999996, 0.98419999999999996, 0.99919999999999998)
(0.58650000000000002, 0.97889999999999999, 0.99909999999999999)
*it=91000 cost=0.630962073802948 creg=0.2359885787963867
(0.59560000000000002, 0.98060000000000003, 0.99880000000000002)
(0.57179999999999997, 0.97789999999999999, 0.99919999999999998)
*it=92000 cost=0.6037036776542664 creg=0.2347027015686035
(0.60370000000000001, 0.98360000000000003, 0.99970000000000003)
(0.59230000000000005, 0.97960000000000003, 0.999)
*it=93000 cost=0.6013127565383911 creg=0.2334234619140625
(0.59840000000000004, 0.98329999999999995, 0.99919999999999998)
(0.59550000000000003, 0.98040000000000005, 0.99970000000000003)
*it=94000 cost=0.6107375621795654 creg=0.2321503257751465
(0.59389999999999998, 0.98260000000000003, 0.99960000000000004)
(0.59499999999999997, 0.97909999999999997, 0.99939999999999996)
*it=95000 cost=0.6204605102539062 creg=0.23089380264282228
(0.59519999999999995, 0.97870000000000001, 0.99919999999999998)
(0.58589999999999998, 0.97619999999999996, 0.99829999999999997)
*it=96000 cost=0.6097730994224548 creg=0.2296374320983887
(0.59730000000000005, 0.98209999999999997, 0.99919999999999998)
(0.59309999999999996, 0.97909999999999997, 0.99909999999999999)
*it=97000 cost=0.5980733036994934 creg=0.22837194442749023
(0.60409999999999997, 0.98360000000000003, 0.99929999999999997)
(0.58899999999999997, 0.98070000000000002, 0.99919999999999998)
*it=98000 cost=0.5981041193008423 creg=0.22713493347167968
(0.60160000000000002, 0.98280000000000001, 0.99929999999999997)
(0.59550000000000003, 0.9788, 0.99850000000000005)
*it=99000 cost=0.6174802780151367 creg=0.22591167449951172
(0.58509999999999995, 0.98170000000000002, 0.99960000000000004)
(0.57469999999999999, 0.97750000000000004, 0.99860000000000004)
*it=100000 cost=0.5799413919448853 creg=0.22468008041381837
(0.61309999999999998, 0.98480000000000001, 0.99980000000000002)
(0.58560000000000001, 0.98229999999999995, 0.999)
*it=101000 cost=0.5949875116348267 creg=0.22346969604492187
(0.59809999999999997, 0.98240000000000005, 0.99980000000000002)
(0.58399999999999996, 0.9798, 0.99939999999999996)
*it=102000 cost=0.5922313928604126 creg=0.22225746154785156
(0.59589999999999999, 0.98150000000000004, 0.99980000000000002)
(0.58709999999999996, 0.97789999999999999, 0.99890000000000001)
*it=103000 cost=0.576214611530304 creg=0.22105056762695313
(0.60870000000000002, 0.98660000000000003, 0.99970000000000003)
(0.60109999999999997, 0.98080000000000001, 0.99950000000000006)
*it=104000 cost=0.6001960039138794 creg=0.21987377166748048
(0.59740000000000004, 0.98089999999999999, 0.99950000000000006)
(0.57879999999999998, 0.97850000000000004, 0.99939999999999996)
