(0.47620000000000001, 0.91410000000000002, 0.98480000000000001)
*it=63000 cost=1.7978882789611816 creg=1.1185474395751953
(0.49609999999999999, 0.93269999999999997, 0.99139999999999995)
(0.48680000000000001, 0.92279999999999995, 0.98870000000000002)
*it=64000 cost=1.8020567893981934 creg=1.1024042129516602
(0.48809999999999998, 0.92979999999999996, 0.99129999999999996)
(0.48620000000000002, 0.92000000000000004, 0.98909999999999998)
*it=65000 cost=1.7850782871246338 creg=1.0865017890930175
(0.50149999999999995, 0.92800000000000005, 0.99080000000000001)
(0.49780000000000002, 0.92979999999999996, 0.98980000000000001)
*it=66000 cost=1.7766193151474 creg=1.070877742767334
(0.496, 0.92779999999999996, 0.98939999999999995)
(0.49009999999999998, 0.92290000000000005, 0.98770000000000002)
*it=67000 cost=1.717820405960083 creg=1.0554712295532227
(0.51190000000000002, 0.93430000000000002, 0.99139999999999995)
(0.4889, 0.92530000000000001, 0.99099999999999999)
*it=68000 cost=1.698500394821167 creg=1.04031400680542
(0.49959999999999999, 0.93640000000000001, 0.99239999999999995)
(0.48599999999999999, 0.92079999999999995, 0.99080000000000001)
*it=69000 cost=1.7244861125946045 creg=1.0253801345825195
(0.49609999999999999, 0.92710000000000004, 0.98939999999999995)
(0.49330000000000002, 0.9244, 0.98839999999999995)
*it=70000 cost=1.6907875537872314 creg=1.0106884956359863
(0.49890000000000001, 0.93420000000000003, 0.99180000000000001)
(0.4894, 0.92730000000000001, 0.98829999999999996)
*it=71000 cost=1.6862056255340576 creg=0.9962087631225587
(0.49769999999999998, 0.93279999999999996, 0.98960000000000004)
(0.49030000000000001, 0.92269999999999996, 0.98780000000000001)
*it=72000 cost=1.6869282722473145 creg=0.9819842338562013
(0.49430000000000002, 0.92879999999999996, 0.98929999999999996)
(0.496, 0.92649999999999999, 0.98950000000000005)
*it=73000 cost=1.6575729846954346 creg=0.9680415153503419
(0.49780000000000002, 0.93049999999999999, 0.99099999999999999)
(0.48770000000000002, 0.92279999999999995, 0.98850000000000005)
*it=74000 cost=1.619521141052246 creg=0.9542824745178223
(0.50109999999999999, 0.93400000000000005, 0.99160000000000004)
(0.49299999999999999, 0.92220000000000002, 0.98809999999999998)
*it=75000 cost=1.6362652778625488 creg=0.9407058715820313
(0.49590000000000001, 0.93069999999999997, 0.99080000000000001)
(0.48199999999999998, 0.91759999999999997, 0.98629999999999995)
*it=76000 cost=1.5866819620132446 creg=0.9273838043212891
(0.50570000000000004, 0.93159999999999998, 0.99139999999999995)
(0.4859, 0.92179999999999995, 0.99009999999999998)
*it=77000 cost=1.5736351013183594 creg=0.9142650604248047
(0.50349999999999995, 0.93579999999999997, 0.9909)
(0.504, 0.92759999999999998, 0.98919999999999997)
*it=78000 cost=1.575531005859375 creg=0.901379680633545
(0.51580000000000004, 0.93530000000000002, 0.98950000000000005)
(0.49399999999999999, 0.92920000000000003, 0.98770000000000002)
*it=79000 cost=1.5408759117126465 creg=0.8886592864990235
(0.50470000000000004, 0.93830000000000002, 0.99139999999999995)
(0.49690000000000001, 0.93030000000000002, 0.98950000000000005)
*it=80000 cost=1.5101802349090576 creg=0.8761964797973634
(0.51819999999999999, 0.93840000000000001, 0.99209999999999998)
(0.49540000000000001, 0.92649999999999999, 0.99039999999999995)
*it=81000 cost=1.51106595993042 creg=0.8639123916625977
(0.50890000000000002, 0.93830000000000002, 0.99219999999999997)
(0.50360000000000005, 0.92920000000000003, 0.98970000000000002)
*it=82000 cost=1.5416021347045898 creg=0.8518458366394044
(0.49009999999999998, 0.92879999999999996, 0.99209999999999998)
(0.48420000000000002, 0.92200000000000004, 0.98939999999999995)
*it=83000 cost=1.5055359601974487 creg=0.8399128913879395
(0.51449999999999996, 0.93440000000000001, 0.99070000000000003)
(0.50419999999999998, 0.92720000000000002, 0.9889)
*it=84000 cost=1.4951756000518799 creg=0.8282472610473633
(0.50060000000000004, 0.93720000000000003, 0.99139999999999995)
(0.49559999999999998, 0.9284, 0.98960000000000004)
*it=85000 cost=1.416527509689331 creg=0.8167162895202638
(0.52539999999999998, 0.94169999999999998, 0.99419999999999997)
(0.51129999999999998, 0.93320000000000003, 0.98880000000000001)
