(0.58850000000000002, 0.97719999999999996, 0.99919999999999998)
*it=65000 cost=1.4359853267669678 creg=1.067321491241455
(0.60109999999999997, 0.98499999999999999, 0.99970000000000003)
(0.58660000000000001, 0.98089999999999999, 0.99939999999999996)
*it=66000 cost=1.4437272548675537 creg=1.0514531135559082
(0.5907, 0.98029999999999995, 0.999)
(0.57640000000000002, 0.98089999999999999, 0.99950000000000006)
*it=67000 cost=1.4179240465164185 creg=1.0358244895935058
(0.59299999999999997, 0.98250000000000004, 0.99929999999999997)
(0.58320000000000005, 0.97770000000000001, 0.99890000000000001)
*it=68000 cost=1.4144606590270996 creg=1.020408821105957
(0.58930000000000005, 0.98180000000000001, 0.99939999999999996)
(0.56330000000000002, 0.97809999999999997, 0.99929999999999997)
*it=69000 cost=1.3893404006958008 creg=1.005236053466797
(0.59430000000000005, 0.98199999999999998, 0.99929999999999997)
(0.57920000000000005, 0.97719999999999996, 0.99790000000000001)
*it=70000 cost=1.3539655208587646 creg=0.9903076171875
(0.60760000000000003, 0.98350000000000004, 0.99929999999999997)
(0.59430000000000005, 0.9798, 0.99929999999999997)
*it=71000 cost=1.3579291105270386 creg=0.9756329536437989
(0.59899999999999998, 0.98250000000000004, 0.99929999999999997)
(0.58530000000000004, 0.97519999999999996, 0.99890000000000001)
*it=72000 cost=1.3167959451675415 creg=0.9611919403076172
(0.60699999999999998, 0.98660000000000003, 0.99960000000000004)
(0.58699999999999997, 0.9839, 0.99929999999999997)
*it=73000 cost=1.323445200920105 creg=0.9469342231750488
(0.59160000000000001, 0.98380000000000001, 0.99960000000000004)
(0.57920000000000005, 0.97919999999999996, 0.99990000000000001)
*it=74000 cost=1.301670789718628 creg=0.9329334259033204
(0.60140000000000005, 0.98299999999999998, 0.99939999999999996)
(0.58730000000000004, 0.98019999999999996, 0.99880000000000002)
*it=75000 cost=1.2947601079940796 creg=0.9191079139709473
(0.58540000000000003, 0.98299999999999998, 0.99970000000000003)
(0.57640000000000002, 0.97970000000000002, 0.99939999999999996)
*it=76000 cost=1.2704331874847412 creg=0.9055331230163575
(0.60929999999999995, 0.98270000000000002, 0.99939999999999996)
(0.5837, 0.97989999999999999, 0.999)
*it=77000 cost=1.2480765581130981 creg=0.8921826362609864
(0.60960000000000003, 0.98629999999999995, 1.0)
(0.60470000000000002, 0.98040000000000005, 0.99939999999999996)
*it=78000 cost=1.2860198020935059 creg=0.8790410041809082
(0.57979999999999998, 0.97760000000000002, 0.99929999999999997)
(0.5655, 0.97270000000000001, 0.99839999999999995)
*it=79000 cost=1.2402552366256714 creg=0.8661288261413574
(0.59889999999999999, 0.98240000000000005, 0.99960000000000004)
(0.58099999999999996, 0.97889999999999999, 0.99870000000000003)
*it=80000 cost=1.222320556640625 creg=0.8533762931823731
(0.59360000000000002, 0.98440000000000005, 0.99960000000000004)
(0.59299999999999997, 0.98060000000000003, 0.99880000000000002)
*it=81000 cost=1.231886386871338 creg=0.8408319473266602
(0.58220000000000005, 0.98199999999999998, 0.99939999999999996)
(0.56789999999999996, 0.97560000000000002, 0.99939999999999996)
*it=82000 cost=1.1802921295166016 creg=0.8284773826599121
(0.61299999999999999, 0.98550000000000004, 0.99929999999999997)
(0.59770000000000001, 0.9829, 0.99970000000000003)
*it=83000 cost=1.1770076751708984 creg=0.8163085937500001
(0.60570000000000002, 0.98509999999999998, 0.99960000000000004)
(0.58940000000000003, 0.97989999999999999, 0.99919999999999998)
*it=84000 cost=1.1624537706375122 creg=0.8043622970581055
(0.60370000000000001, 0.98450000000000004, 0.99960000000000004)
(0.60099999999999998, 0.9819, 0.99870000000000003)
*it=85000 cost=1.1546962261199951 creg=0.7925703525543213
(0.61380000000000001, 0.98419999999999996, 0.99939999999999996)
(0.59950000000000003, 0.98129999999999995, 0.99890000000000001)
*it=86000 cost=1.1450166702270508 creg=0.7809389591217042
(0.60599999999999998, 0.98429999999999995, 0.99929999999999997)
(0.58530000000000004, 0.97619999999999996, 0.99880000000000002)
*it=87000 cost=1.1308610439300537 creg=0.7695366382598877
(0.60240000000000005, 0.98350000000000004, 0.99950000000000006)
(0.58709999999999996, 0.98199999999999998, 0.99939999999999996)
*it=88000 cost=1.1056182384490967 creg=0.7583088874816895
(0.60950000000000004, 0.98670000000000002, 0.99970000000000003)
(0.59130000000000005, 0.98150000000000004, 0.99960000000000004)
*it=89000 cost=1.0875087976455688 creg=0.7472366333007813
(0.62019999999999997, 0.98509999999999998, 0.99960000000000004)
(0.5968, 0.98160000000000003, 0.99929999999999997)
*it=90000 cost=1.0908160209655762 creg=0.7363643169403077
(0.61399999999999999, 0.98470000000000002, 0.99919999999999998)
(0.59419999999999995, 0.98199999999999998, 0.99909999999999999)
*it=91000 cost=1.0972636938095093 creg=0.7256696224212646
(0.59709999999999996, 0.98409999999999997, 0.99939999999999996)
(0.5887, 0.9798, 0.99950000000000006)
*it=92000 cost=1.056767225265503 creg=0.7151037693023682
(0.62139999999999995, 0.98780000000000001, 0.99960000000000004)
(0.59630000000000005, 0.98089999999999999, 0.99950000000000006)
*it=93000 cost=1.0451345443725586 creg=0.7047104358673096
(0.61550000000000005, 0.98819999999999997, 0.99939999999999996)
(0.60419999999999996, 0.9839, 0.99950000000000006)
*it=94000 cost=1.037806510925293 creg=0.6944848060607911
(0.61509999999999998, 0.98740000000000006, 0.99970000000000003)
(0.60540000000000005, 0.98250000000000004, 0.99970000000000003)
*it=95000 cost=1.0388826131820679 creg=0.6844491004943848
(0.61260000000000003, 0.9849, 0.99970000000000003)
(0.59850000000000003, 0.97960000000000003, 0.99880000000000002)
*it=96000 cost=1.0168168544769287 creg=0.6745419979095459
(0.6179, 0.98740000000000006, 0.99950000000000006)
(0.60240000000000005, 0.98329999999999995, 0.99939999999999996)
*it=97000 cost=1.0281963348388672 creg=0.6647526741027833
(0.60640000000000005, 0.98409999999999997, 0.99960000000000004)
(0.57379999999999998, 0.98140000000000005, 0.99919999999999998)
*it=98000 cost=0.9952096939086914 creg=0.6551474571228028
(0.62009999999999998, 0.98680000000000001, 0.99960000000000004)
(0.60719999999999996, 0.98340000000000005, 0.99909999999999999)
*it=99000 cost=1.0291903018951416 creg=0.6457156658172608
(0.59470000000000001, 0.98199999999999998, 0.99970000000000003)
(0.57620000000000005, 0.97940000000000005, 0.99919999999999998)
*it=100000 cost=0.963965892791748 creg=0.63641676902771
(0.62270000000000003, 0.98850000000000005, 0.99990000000000001)
(0.60440000000000005, 0.98580000000000001, 0.99939999999999996)
*it=101000 cost=0.9910946488380432 creg=0.6272762775421143
(0.60560000000000003, 0.98409999999999997, 0.99980000000000002)
(0.58209999999999995, 0.98050000000000004, 0.99929999999999997)
*it=102000 cost=0.9577341675758362 creg=0.6182558059692383
(0.62290000000000001, 0.98650000000000004, 0.99980000000000002)
(0.59830000000000005, 0.98060000000000003, 0.999)
*it=103000 cost=0.9309099316596985 creg=0.6093950271606445
(0.62770000000000004, 0.98999999999999999, 1.0)
(0.61670000000000003, 0.98209999999999997, 0.99970000000000003)
*it=104000 cost=0.9426984786987305 creg=0.6006693363189698
(0.6169, 0.9869, 0.99970000000000003)
(0.60260000000000002, 0.98399999999999999, 0.99919999999999998)
*it=105000 cost=0.924079418182373 creg=0.5920815467834473
(0.62590000000000001, 0.98870000000000002, 0.99990000000000001)
(0.61170000000000002, 0.98150000000000004, 0.99890000000000001)
*it=106000 cost=0.9135037660598755 creg=0.5836163997650147
(0.63109999999999999, 0.98740000000000006, 0.99980000000000002)
(0.61339999999999995, 0.98529999999999995, 0.99919999999999998)
*it=107000 cost=0.9331175088882446 creg=0.5753347873687744
(0.60909999999999997, 0.98370000000000002, 0.99939999999999996)
(0.57869999999999999, 0.9798, 0.99950000000000006)
*it=108000 cost=0.9271388649940491 creg=0.567136287689209
(0.60750000000000004, 0.98560000000000003, 0.99970000000000003)
(0.59650000000000003, 0.98089999999999999, 0.99929999999999997)
