*it=0 cost=2.4620866775512695 creg=0.7562957763671876
(0.59350000000000003, 0.98529999999999995, 0.99950000000000006)
(0.57899999999999996, 0.97829999999999995, 0.999)
*it=62000 cost=0.7236992120742798 creg=0.3227195978164673
(0.57740000000000002, 0.98009999999999997, 0.99939999999999996)
(0.56769999999999998, 0.9748, 0.99950000000000006)
*it=63000 cost=0.6855946779251099 creg=0.31849863529205324
(0.60970000000000002, 0.98340000000000005, 0.99960000000000004)
(0.58520000000000005, 0.97860000000000003, 0.99919999999999998)
*it=64000 cost=0.6750905513763428 creg=0.31435883045196533
(0.60370000000000001, 0.98619999999999997, 0.99990000000000001)
(0.59630000000000005, 0.9788, 0.99939999999999996)
*it=65000 cost=0.6761331558227539 creg=0.3102509260177613
(0.59589999999999999, 0.98670000000000002, 0.99939999999999996)
(0.58720000000000006, 0.98109999999999997, 0.99960000000000004)
*it=66000 cost=0.6838049292564392 creg=0.30624094009399416
(0.60060000000000002, 0.98250000000000004, 0.99929999999999997)
(0.57379999999999998, 0.98099999999999998, 0.99950000000000006)
*it=67000 cost=0.6697774529457092 creg=0.3022862195968628
(0.60170000000000001, 0.98350000000000004, 0.99929999999999997)
(0.57769999999999999, 0.97819999999999996, 0.99929999999999997)
*it=68000 cost=0.7053381204605103 creg=0.29833972454071045
(0.5726, 0.98060000000000003, 0.99970000000000003)
(0.55940000000000001, 0.97760000000000002, 0.99980000000000002)
*it=69000 cost=0.651581883430481 creg=0.2944883584976196
(0.6089, 0.98460000000000003, 0.99939999999999996)
(0.58979999999999999, 0.97989999999999999, 0.99860000000000004)
*it=70000 cost=0.6544152498245239 creg=0.2907058954238892
(0.59640000000000004, 0.98440000000000005, 0.99929999999999997)
(0.58960000000000001, 0.98140000000000005, 0.99939999999999996)
*it=71000 cost=0.6829138994216919 creg=0.28697900772094725
(0.5857, 0.98050000000000004, 0.99950000000000006)
(0.56669999999999998, 0.96999999999999997, 0.99839999999999995)
*it=72000 cost=0.6205248832702637 creg=0.2833404541015625
(0.62019999999999997, 0.9879, 0.99939999999999996)
(0.59140000000000004, 0.98270000000000002, 0.99939999999999996)
*it=73000 cost=0.6576368808746338 creg=0.27970070838928224
(0.58860000000000001, 0.98350000000000004, 0.99970000000000003)
(0.57669999999999999, 0.97950000000000004, 0.99990000000000001)
*it=74000 cost=0.6930801868438721 creg=0.27612531185150146
(0.56420000000000003, 0.97629999999999995, 0.99950000000000006)
(0.56189999999999996, 0.97509999999999997, 0.99880000000000002)
*it=75000 cost=0.6544259190559387 creg=0.27259364128112795
(0.58940000000000003, 0.98270000000000002, 0.99950000000000006)
(0.57069999999999999, 0.97840000000000005, 0.99960000000000004)
*it=76000 cost=0.6172246336936951 creg=0.2691448450088501
(0.62350000000000005, 0.98480000000000001, 0.99950000000000006)
(0.5877, 0.97960000000000003, 0.99939999999999996)
*it=77000 cost=0.6106810569763184 creg=0.2657742500305176
